== Simulation Parameters ==
  - Arrival Rate (λ): 15
  - Service Rate (μ): 10
  - Deadline Rate (θ): 1
  - Queue Size: 5
  - Total Packets: 500
  - Congestion Control: <__main__.TCPCubic object at 0x10a6b4040>
===========================

== Simulation Start ==
[0.0469] Packet 0 SERVICED, delay=0.0469
[7.4870] [TCP CUBIC] cwnd=6.26 (W_max=5.44, K=2.22)
[7.5000] Packet 44 DROPPED (queue full)
[7.5000] [TCP CUBIC LOSS] cwnd reduced to 5.01, W_max set to 6.26
[7.5580] Packet 39 SERVICED, delay=0.0580
[7.5580] [TCP CUBIC] cwnd=1.62 (W_max=6.26, K=2.32)
[7.5710] Packet 40 SERVICED, delay=0.0710
[7.5710] [TCP CUBIC] cwnd=1.70 (W_max=6.26, K=2.32)
[7.6394] Packet 41 SERVICED, delay=0.1394
[7.6394] [TCP CUBIC] cwnd=2.10 (W_max=6.26, K=2.32)
[7.6429] Packet 42 SERVICED, delay=0.1429
[7.6429] [TCP CUBIC] cwnd=2.12 (W_max=6.26, K=2.32)
[7.8829] Packet 43 SERVICED, delay=0.3829
[7.8829] [TCP CUBIC] cwnd=3.34 (W_max=6.26, K=2.32)
[8.1086] Packet 45 SERVICED, delay=0.1086
[8.1086] [TCP CUBIC] cwnd=4.25 (W_max=6.26, K=2.32)
[8.1460] Packet 46 SERVICED, delay=0.1460
[8.1460] [TCP CUBIC] cwnd=4.38 (W_max=6.26, K=2.32)
[8.2194] Packet 47 SERVICED, delay=0.2194
[8.2194] [TCP CUBIC] cwnd=4.61 (W_max=6.26, K=2.32)
[8.5791] Packet 48 SERVICED, delay=0.0791
[8.5791] [TCP CUBIC] cwnd=5.49 (W_max=6.26, K=2.32)
[8.5996] Packet 49 SERVICED, delay=0.0996
[8.5996] [TCP CUBIC] cwnd=5.53 (W_max=6.26, K=2.32)
[8.9488] Packet 50 SERVICED, delay=0.4488
[8.9488] [TCP CUBIC] cwnd=5.99 (W_max=6.26, K=2.32)
[9.0981] Packet 51 SERVICED, delay=0.5981
[9.0981] [TCP CUBIC] cwnd=6.11 (W_max=6.26, K=2.32)
[9.3786] Packet 52 SERVICED, delay=0.3786
[9.3786] [TCP CUBIC] cwnd=6.22 (W_max=6.26, K=2.32)
[9.5000] Packet 58 DROPPED (queue full)
[9.5000] [TCP CUBIC LOSS] cwnd reduced to 4.98, W_max set to 6.22
[9.6038] Packet 53 SERVICED, delay=0.6038
[9.6038] [TCP CUBIC] cwnd=1.88 (W_max=6.22, K=2.32)
[9.6949] Packet 54 SERVICED, delay=0.6949
[9.6949] [TCP CUBIC] cwnd=2.40 (W_max=6.22, K=2.32)
[9.9498] Packet 55 SERVICED, delay=0.9498
[9.9498] [TCP CUBIC] cwnd=3.62 (W_max=6.22, K=2.32)
[9.9591] Packet 56 SERVICED, delay=0.4591
[9.9591] [TCP CUBIC] cwnd=3.66 (W_max=6.22, K=2.32)
[9.9809] Packet 57 SERVICED, delay=0.4809
[9.9809] [TCP CUBIC] cwnd=3.75 (W_max=6.22, K=2.32)
[10.0394] Packet 59 SERVICED, delay=0.0394
[10.0394] [TCP CUBIC] cwnd=3.98 (W_max=6.22, K=2.32)
[10.0886] Packet 60 SERVICED, delay=0.0886
[10.0886] [TCP CUBIC] cwnd=4.16 (W_max=6.22, K=2.32)
[10.1202] Packet 61 SERVICED, delay=0.1202
[10.1202] [TCP CUBIC] cwnd=4.27 (W_max=6.22, K=2.32)
[10.6765] Packet 62 SERVICED, delay=0.1765
[10.6765] [TCP CUBIC] cwnd=5.63 (W_max=6.22, K=2.32)
[10.7206] Packet 63 SERVICED, delay=0.2206
[10.7206] [TCP CUBIC] cwnd=5.70 (W_max=6.22, K=2.32)
[10.7536] Packet 64 SERVICED, delay=0.2536
[10.7536] [TCP CUBIC] cwnd=5.74 (W_max=6.22, K=2.32)
[10.8318] Packet 65 SERVICED, delay=0.3318
[10.8318] [TCP CUBIC] cwnd=5.84 (W_max=6.22, K=2.32)
[11.0152] Packet 66 SERVICED, delay=0.0152
[11.0152] [TCP CUBIC] cwnd=6.02 (W_max=6.22, K=2.32)
[11.1772] Packet 67 SERVICED, delay=0.1772
[11.1772] [TCP CUBIC] cwnd=6.12 (W_max=6.22, K=2.32)
[11.1850] Packet 68 SERVICED, delay=0.1850
[11.1850] [TCP CUBIC] cwnd=6.12 (W_max=6.22, K=2.32)
[11.5000] Packet 74 DROPPED (queue full)
[11.5000] [TCP CUBIC LOSS] cwnd reduced to 4.90, W_max set to 6.12
[11.6184] Packet 69 SERVICED, delay=0.6184
[11.6184] [TCP CUBIC] cwnd=1.94 (W_max=6.12, K=2.31)
[11.7663] Packet 70 SERVICED, delay=0.7663
[11.7663] [TCP CUBIC] cwnd=2.73 (W_max=6.12, K=2.31)
[11.7885] Packet 71 SERVICED, delay=0.2885
[11.7885] [TCP CUBIC] cwnd=2.84 (W_max=6.12, K=2.31)
[11.7891] Packet 72 SERVICED, delay=0.2891
[11.7891] [TCP CUBIC] cwnd=2.85 (W_max=6.12, K=2.31)
[11.9580] Packet 73 SERVICED, delay=0.4580
[11.9580] [TCP CUBIC] cwnd=3.60 (W_max=6.12, K=2.31)
[12.1306] Packet 75 SERVICED, delay=0.1306
[12.1306] [TCP CUBIC] cwnd=4.25 (W_max=6.12, K=2.31)
[12.2781] Packet 76 SERVICED, delay=0.2781
[12.2781] [TCP CUBIC] cwnd=4.70 (W_max=6.12, K=2.31)
[12.2858] Packet 77 SERVICED, delay=0.2858
[12.2858] [TCP CUBIC] cwnd=4.72 (W_max=6.12, K=2.31)
[12.5444] Packet 78 SERVICED, delay=0.0444
[12.5444] [TCP CUBIC] cwnd=5.32 (W_max=6.12, K=2.31)
[12.5567] Packet 79 SERVICED, delay=0.0567
[12.5567] [TCP CUBIC] cwnd=5.35 (W_max=6.12, K=2.31)
[12.7556] Packet 80 SERVICED, delay=0.2556
[12.7556] [TCP CUBIC] cwnd=5.66 (W_max=6.12, K=2.31)
[12.8532] Packet 81 SERVICED, delay=0.3532
[12.8532] [TCP CUBIC] cwnd=5.78 (W_max=6.12, K=2.31)
[13.0402] Packet 82 SERVICED, delay=0.0402
[13.0402] [TCP CUBIC] cwnd=5.94 (W_max=6.12, K=2.31)
[13.0467] Packet 83 SERVICED, delay=0.0467
[13.0467] [TCP CUBIC] cwnd=5.95 (W_max=6.12, K=2.31)
[13.0840] Packet 84 SERVICED, delay=0.0840
[13.0840] [TCP CUBIC] cwnd=5.97 (W_max=6.12, K=2.31)
[13.1233] Packet 85 SERVICED, delay=0.1233
[13.1233] [TCP CUBIC] cwnd=6.00 (W_max=6.12, K=2.31)
[13.2541] Packet 86 SERVICED, delay=0.2541
[13.2541] [TCP CUBIC] cwnd=6.06 (W_max=6.12, K=2.31)
[13.5000] Packet 92 DROPPED (queue full)
[13.5000] [TCP CUBIC LOSS] cwnd reduced to 4.85, W_max set to 6.06
[13.6015] Packet 87 SERVICED, delay=0.1015
[13.6015] [TCP CUBIC] cwnd=1.83 (W_max=6.06, K=2.30)
[13.8197] Packet 88 SERVICED, delay=0.3197
[13.8197] [TCP CUBIC] cwnd=2.97 (W_max=6.06, K=2.30)
[13.8836] Packet 89 SERVICED, delay=0.3836
[13.8836] [TCP CUBIC] cwnd=3.26 (W_max=6.06, K=2.30)
[13.8964] Packet 90 SERVICED, delay=0.3964
[13.8964] [TCP CUBIC] cwnd=3.31 (W_max=6.06, K=2.30)
[14.0213] Packet 91 SERVICED, delay=0.5213
[14.0213] [TCP CUBIC] cwnd=3.82 (W_max=6.06, K=2.30)
[14.1037] Packet 93 SERVICED, delay=0.1037
[14.1037] [TCP CUBIC] cwnd=4.12 (W_max=6.06, K=2.30)
[14.2510] Packet 94 SERVICED, delay=0.2510
[14.2510] [TCP CUBIC] cwnd=4.58 (W_max=6.06, K=2.30)
[14.5681] Packet 95 SERVICED, delay=0.0681
[14.5681] [TCP CUBIC] cwnd=5.32 (W_max=6.06, K=2.30)
[14.6420] Packet 96 SERVICED, delay=0.1420
[14.6420] [TCP CUBIC] cwnd=5.44 (W_max=6.06, K=2.30)
[14.6978] Packet 97 SERVICED, delay=0.1978
[14.6978] [TCP CUBIC] cwnd=5.53 (W_max=6.06, K=2.30)
[14.7004] Packet 98 SERVICED, delay=0.2004
[14.7004] [TCP CUBIC] cwnd=5.53 (W_max=6.06, K=2.30)
[15.0114] Packet 99 SERVICED, delay=0.0114
[15.0114] [TCP CUBIC] cwnd=5.86 (W_max=6.06, K=2.30)
[15.0146] Packet 100 SERVICED, delay=0.0146
[15.0146] [TCP CUBIC] cwnd=5.87 (W_max=6.06, K=2.30)
[15.1158] Packet 101 SERVICED, delay=0.1158
[15.1158] [TCP CUBIC] cwnd=5.93 (W_max=6.06, K=2.30)
[15.1535] Packet 102 SERVICED, delay=0.1535
[15.1535] [TCP CUBIC] cwnd=5.95 (W_max=6.06, K=2.30)
[15.2246] Packet 103 SERVICED, delay=0.2246
[15.2246] [TCP CUBIC] cwnd=5.98 (W_max=6.06, K=2.30)
[15.7381] Packet 104 SERVICED, delay=0.2381
[15.7381] [TCP CUBIC] cwnd=6.06 (W_max=6.06, K=2.30)
[15.7668] Packet 105 SERVICED, delay=0.2668
[15.7668] [TCP CUBIC] cwnd=6.06 (W_max=6.06, K=2.30)
[15.8196] Packet 106 SERVICED, delay=0.3196
[15.8196] [TCP CUBIC] cwnd=6.06 (W_max=6.06, K=2.30)
[15.9605] Packet 107 SERVICED, delay=0.4605
[15.9605] [TCP CUBIC] cwnd=6.06 (W_max=6.06, K=2.30)
[15.9865] Packet 108 SERVICED, delay=0.4865
[15.9865] [TCP CUBIC] cwnd=6.06 (W_max=6.06, K=2.30)
[16.0000] Packet 114 DROPPED (queue full)
[16.0000] [TCP CUBIC LOSS] cwnd reduced to 4.85, W_max set to 6.06
[16.0080] Packet 109 SERVICED, delay=0.0080
[16.0080] [TCP CUBIC] cwnd=1.26 (W_max=6.06, K=2.30)
[16.0422] Packet 110 SERVICED, delay=0.0422
[16.0422] [TCP CUBIC] cwnd=1.47 (W_max=6.06, K=2.30)
[16.0598] Packet 111 SERVICED, delay=0.0598
[16.0598] [TCP CUBIC] cwnd=1.58 (W_max=6.06, K=2.30)
[16.3253] Packet 112 SERVICED, delay=0.3253
[16.3253] [TCP CUBIC] cwnd=2.99 (W_max=6.06, K=2.30)
[16.4904] Packet 113 SERVICED, delay=0.4904
[16.4904] [TCP CUBIC] cwnd=3.70 (W_max=6.06, K=2.30)
[16.7052] Packet 115 SERVICED, delay=0.2052
[16.7052] [TCP CUBIC] cwnd=4.45 (W_max=6.06, K=2.30)
[16.8679] Packet 116 SERVICED, delay=0.3679
[16.8679] [TCP CUBIC] cwnd=4.89 (W_max=6.06, K=2.30)
[16.8886] Packet 117 SERVICED, delay=0.3886
[16.8886] [TCP CUBIC] cwnd=4.94 (W_max=6.06, K=2.30)
[17.2231] Packet 118 SERVICED, delay=0.2231
[17.2231] [TCP CUBIC] cwnd=5.56 (W_max=6.06, K=2.30)
[17.3006] Packet 119 SERVICED, delay=0.3006
[17.3006] [TCP CUBIC] cwnd=5.66 (W_max=6.06, K=2.30)
[17.4653] Packet 120 SERVICED, delay=0.4653
[17.4653] [TCP CUBIC] cwnd=5.83 (W_max=6.06, K=2.30)
[17.6918] Packet 121 SERVICED, delay=0.6918
[17.6918] [TCP CUBIC] cwnd=5.97 (W_max=6.06, K=2.30)
[17.7300] Packet 122 SERVICED, delay=0.2300
[17.7300] [TCP CUBIC] cwnd=5.99 (W_max=6.06, K=2.30)
[17.7417] Packet 123 SERVICED, delay=0.2417
[17.7417] [TCP CUBIC] cwnd=5.99 (W_max=6.06, K=2.30)
[17.7676] Packet 124 SERVICED, delay=0.2676
[17.7676] [TCP CUBIC] cwnd=6.00 (W_max=6.06, K=2.30)
[17.8233] Packet 125 SERVICED, delay=0.3233
[17.8233] [TCP CUBIC] cwnd=6.02 (W_max=6.06, K=2.30)
[18.0000] Packet 131 DROPPED (queue full)
[18.0000] [TCP CUBIC LOSS] cwnd reduced to 4.81, W_max set to 6.02
[18.1704] Packet 126 SERVICED, delay=0.1704
[18.1704] [TCP CUBIC] cwnd=2.20 (W_max=6.02, K=2.29)
[18.3675] Packet 127 SERVICED, delay=0.3675
[18.3675] [TCP CUBIC] cwnd=3.17 (W_max=6.02, K=2.29)
[18.3682] Packet 128 SERVICED, delay=0.3682
[18.3682] [TCP CUBIC] cwnd=3.17 (W_max=6.02, K=2.29)
[18.4397] Packet 129 SERVICED, delay=0.4397
[18.4397] [TCP CUBIC] cwnd=3.48 (W_max=6.02, K=2.29)
[18.4937] Packet 130 SERVICED, delay=0.4937
[18.4937] [TCP CUBIC] cwnd=3.69 (W_max=6.02, K=2.29)
[18.5128] Packet 132 SERVICED, delay=0.0128
[18.5128] [TCP CUBIC] cwnd=3.77 (W_max=6.02, K=2.29)
[18.5540] Packet 133 SERVICED, delay=0.0540
[18.5540] [TCP CUBIC] cwnd=3.92 (W_max=6.02, K=2.29)
[18.8403] Packet 134 SERVICED, delay=0.3403
[18.8403] [TCP CUBIC] cwnd=4.79 (W_max=6.02, K=2.29)
[19.0390] Packet 135 SERVICED, delay=0.0390
[19.0390] [TCP CUBIC] cwnd=5.23 (W_max=6.02, K=2.29)
[19.1122] Packet 136 SERVICED, delay=0.1122
[19.1122] [TCP CUBIC] cwnd=5.36 (W_max=6.02, K=2.29)
[19.2336] Packet 137 SERVICED, delay=0.2336
[19.2336] [TCP CUBIC] cwnd=5.54 (W_max=6.02, K=2.29)
[19.2788] Packet 138 SERVICED, delay=0.2788
[19.2788] [TCP CUBIC] cwnd=5.60 (W_max=6.02, K=2.29)
[19.8568] Packet 139 SERVICED, delay=0.3568
[19.8568] [TCP CUBIC] cwnd=5.98 (W_max=6.02, K=2.29)
[20.1850] Packet 140 SERVICED, delay=0.6850
[20.1850] [TCP CUBIC] cwnd=6.02 (W_max=6.02, K=2.29)
[20.2140] Packet 141 SERVICED, delay=0.7140
[20.2140] [TCP CUBIC] cwnd=6.02 (W_max=6.02, K=2.29)
[20.2828] Packet 142 SERVICED, delay=0.7828
[20.2828] [TCP CUBIC] cwnd=6.02 (W_max=6.02, K=2.29)
[20.3185] Packet 143 SERVICED, delay=0.8185
[20.3185] [TCP CUBIC] cwnd=6.02 (W_max=6.02, K=2.29)
[20.3521] Packet 144 SERVICED, delay=0.3521
[20.3521] [TCP CUBIC] cwnd=6.02 (W_max=6.02, K=2.29)
[20.5000] Packet 150 DROPPED (queue full)
[20.5000] [TCP CUBIC LOSS] cwnd reduced to 4.81, W_max set to 6.02
[20.5038] Packet 145 SERVICED, delay=0.0038
[20.5038] [TCP CUBIC] cwnd=1.23 (W_max=6.02, K=2.29)
[20.5978] Packet 146 SERVICED, delay=0.0978
[20.5978] [TCP CUBIC] cwnd=1.79 (W_max=6.02, K=2.29)
[20.6677] Packet 147 SERVICED, delay=0.1677
[20.6677] [TCP CUBIC] cwnd=2.18 (W_max=6.02, K=2.29)
[20.6729] Packet 148 SERVICED, delay=0.1729
[20.6729] [TCP CUBIC] cwnd=2.21 (W_max=6.02, K=2.29)
[20.7056] Packet 149 SERVICED, delay=0.2056
[20.7056] [TCP CUBIC] cwnd=2.39 (W_max=6.02, K=2.29)
[21.0274] Packet 151 SERVICED, delay=0.0274
[21.0274] [TCP CUBIC] cwnd=3.82 (W_max=6.02, K=2.29)
[21.0430] Packet 152 SERVICED, delay=0.0430
[21.0430] [TCP CUBIC] cwnd=3.88 (W_max=6.02, K=2.29)
[21.5672] Packet 153 SERVICED, delay=0.0672
[21.5672] [TCP CUBIC] cwnd=5.28 (W_max=6.02, K=2.29)
[21.9916] Packet 154 SERVICED, delay=0.4916
[21.9916] [TCP CUBIC] cwnd=5.81 (W_max=6.02, K=2.29)
[22.0193] Packet 155 SERVICED, delay=0.5193
[22.0193] [TCP CUBIC] cwnd=5.83 (W_max=6.02, K=2.29)
[22.1309] Packet 156 SERVICED, delay=0.1309
[22.1309] [TCP CUBIC] cwnd=5.90 (W_max=6.02, K=2.29)
[22.2742] Packet 157 SERVICED, delay=0.2742
[22.2742] [TCP CUBIC] cwnd=5.96 (W_max=6.02, K=2.29)
[22.3014] Packet 158 SERVICED, delay=0.3014
[22.3014] [TCP CUBIC] cwnd=5.97 (W_max=6.02, K=2.29)
[22.4317] Packet 159 SERVICED, delay=0.4317
[22.4317] [TCP CUBIC] cwnd=6.00 (W_max=6.02, K=2.29)
[22.5459] Packet 160 SERVICED, delay=0.0459
[22.5459] [TCP CUBIC] cwnd=6.01 (W_max=6.02, K=2.29)
[22.6459] Packet 161 SERVICED, delay=0.1459
[22.6459] [TCP CUBIC] cwnd=6.02 (W_max=6.02, K=2.29)
[22.7463] Packet 162 SERVICED, delay=0.2463
[22.7463] [TCP CUBIC] cwnd=6.02 (W_max=6.02, K=2.29)
[22.8230] Packet 163 SERVICED, delay=0.3230
[22.8230] [TCP CUBIC] cwnd=6.02 (W_max=6.02, K=2.29)
[22.8325] Packet 164 SERVICED, delay=0.3325
[22.8325] [TCP CUBIC] cwnd=6.02 (W_max=6.02, K=2.29)
[23.0000] Packet 170 DROPPED (queue full)
[23.0000] [TCP CUBIC LOSS] cwnd reduced to 4.81, W_max set to 6.02
[23.1804] Packet 165 SERVICED, delay=0.1804
[23.1804] [TCP CUBIC] cwnd=2.25 (W_max=6.02, K=2.29)
[23.2190] Packet 166 SERVICED, delay=0.2190
[23.2190] [TCP CUBIC] cwnd=2.46 (W_max=6.02, K=2.29)
[23.2397] Packet 167 SERVICED, delay=0.2397
[23.2397] [TCP CUBIC] cwnd=2.56 (W_max=6.02, K=2.29)
[23.2439] Packet 168 SERVICED, delay=0.2439
[23.2439] [TCP CUBIC] cwnd=2.58 (W_max=6.02, K=2.29)
[23.3332] Packet 169 SERVICED, delay=0.3332
[23.3332] [TCP CUBIC] cwnd=3.01 (W_max=6.02, K=2.29)
[23.5017] Packet 171 SERVICED, delay=0.0017
[23.5017] [TCP CUBIC] cwnd=3.72 (W_max=6.02, K=2.29)
[23.5734] Packet 172 SERVICED, delay=0.0734
[23.5734] [TCP CUBIC] cwnd=3.99 (W_max=6.02, K=2.29)
[23.5991] Packet 173 SERVICED, delay=0.0991
[23.5991] [TCP CUBIC] cwnd=4.08 (W_max=6.02, K=2.29)
[24.1036] Packet 174 SERVICED, delay=0.1036
[24.1036] [TCP CUBIC] cwnd=5.35 (W_max=6.02, K=2.29)
[24.1228] Packet 175 SERVICED, delay=0.1228
[24.1228] [TCP CUBIC] cwnd=5.38 (W_max=6.02, K=2.29)
[24.2402] Packet 176 SERVICED, delay=0.2402
[24.2402] [TCP CUBIC] cwnd=5.55 (W_max=6.02, K=2.29)
[24.2891] Packet 177 SERVICED, delay=0.2891
[24.2891] [TCP CUBIC] cwnd=5.61 (W_max=6.02, K=2.29)
[24.7760] Packet 178 SERVICED, delay=0.2760
[24.7760] [TCP CUBIC] cwnd=5.96 (W_max=6.02, K=2.29)
[24.7908] Packet 179 SERVICED, delay=0.2908
[24.7908] [TCP CUBIC] cwnd=5.97 (W_max=6.02, K=2.29)
[24.8325] Packet 180 SERVICED, delay=0.3325
[24.8325] [TCP CUBIC] cwnd=5.98 (W_max=6.02, K=2.29)
[24.8446] Packet 181 SERVICED, delay=0.3446
[24.8446] [TCP CUBIC] cwnd=5.98 (W_max=6.02, K=2.29)
[25.1032] Packet 182 SERVICED, delay=0.6032
[25.1032] [TCP CUBIC] cwnd=6.01 (W_max=6.02, K=2.29)
[25.3130] Packet 183 SERVICED, delay=0.3130
[25.3130] [TCP CUBIC] cwnd=6.02 (W_max=6.02, K=2.29)
[25.3429] Packet 184 SERVICED, delay=0.3429
[25.3429] [TCP CUBIC] cwnd=6.02 (W_max=6.02, K=2.29)
[25.4507] Packet 185 SERVICED, delay=0.4507
[25.4507] [TCP CUBIC] cwnd=6.02 (W_max=6.02, K=2.29)
[25.5000] Packet 191 DROPPED (queue full)
[25.5000] [TCP CUBIC LOSS] cwnd reduced to 4.81, W_max set to 6.02
[25.6207] Packet 186 SERVICED, delay=0.6207
[25.6207] [TCP CUBIC] cwnd=1.93 (W_max=6.02, K=2.29)
[25.7017] Packet 187 SERVICED, delay=0.2017
[25.7017] [TCP CUBIC] cwnd=2.37 (W_max=6.02, K=2.29)
[25.7771] Packet 188 SERVICED, delay=0.2771
[25.7771] [TCP CUBIC] cwnd=2.75 (W_max=6.02, K=2.29)
[25.8048] Packet 189 SERVICED, delay=0.3048
[25.8048] [TCP CUBIC] cwnd=2.88 (W_max=6.02, K=2.29)
[25.8146] Packet 190 SERVICED, delay=0.3146
[25.8146] [TCP CUBIC] cwnd=2.93 (W_max=6.02, K=2.29)
[26.2307] Packet 192 SERVICED, delay=0.2307
[26.2307] [TCP CUBIC] cwnd=4.50 (W_max=6.02, K=2.29)
[26.3309] Packet 193 SERVICED, delay=0.3309
[26.3309] [TCP CUBIC] cwnd=4.77 (W_max=6.02, K=2.29)
[26.5414] Packet 194 SERVICED, delay=0.0414
[26.5414] [TCP CUBIC] cwnd=5.24 (W_max=6.02, K=2.29)
[26.5844] Packet 195 SERVICED, delay=0.0844
[26.5844] [TCP CUBIC] cwnd=5.31 (W_max=6.02, K=2.29)
[26.7138] Packet 196 SERVICED, delay=0.2138
[26.7138] [TCP CUBIC] cwnd=5.52 (W_max=6.02, K=2.29)
[26.9412] Packet 197 SERVICED, delay=0.4412
[26.9412] [TCP CUBIC] cwnd=5.77 (W_max=6.02, K=2.29)
[27.2181] Packet 198 SERVICED, delay=0.2181
[27.2181] [TCP CUBIC] cwnd=5.94 (W_max=6.02, K=2.29)
[27.3695] Packet 199 SERVICED, delay=0.3695
[27.3695] [TCP CUBIC] cwnd=5.99 (W_max=6.02, K=2.29)
[27.4722] Packet 200 SERVICED, delay=0.4722
[27.4722] [TCP CUBIC] cwnd=6.01 (W_max=6.02, K=2.29)
[27.4810] Packet 201 SERVICED, delay=0.4810
[27.4810] [TCP CUBIC] cwnd=6.01 (W_max=6.02, K=2.29)
[27.4986] Packet 202 SERVICED, delay=0.4986
[27.4986] [TCP CUBIC] cwnd=6.01 (W_max=6.02, K=2.29)
[27.5000] Packet 208 DROPPED (queue full)
[27.5000] [TCP CUBIC LOSS] cwnd reduced to 4.81, W_max set to 6.01
[27.7288] Packet 203 SERVICED, delay=0.2288
